City,Zone,Ward Name,Ward No.,,,No. of Identfied Slums,Slum Population - Total,,,,,,Literacy,Number of Households,Total Population,Male Population,Female Population,Children Population,Male Literacy,Female Literacy
Bhuabneswar,North,NA,1,,,3,4261,,,,,,78.93%,7338,47574,26604,20970,3677,87.63%,82.43%
Bhuabneswar,North,NA,2,,,5,4334,,,,,,77.69%,2967,13110,7004,6106,1398,87.02%,82.57%
Bhuabneswar,North,NA,3,,,5,1208,,,,,,85.34%,3957,16504,8804,7700,1879,84.11%,78.81%
Bhuabneswar,North,NA,4,,,19,4327,,,,,,84.95%,3403,16185,8183,8002 ,1770,84.96%,74.03%
Bhuabneswar,North,NA,5,,,8,4992,,,,,,81.63%,5573,23446,12522,10924,2336,85.62%,81.21%
Bhuabneswar,North,NA,6,,,3,1163,,,,,,79.56%,3645,14060,7710 ,6350,1438,82.98%,76.14%
Bhuabneswar,North,NA,7,,,2,666,,,,,,83.56%,3321,13932,7302,6630 ,1494,84.58%,76.32%
Bhuabneswar,North,NA,8,,,4,3364,,,,,,79.89%,2966,11344,6033,5311,1085,87.40%,83%
Bhuabneswar,North,NA,9,,,13,7409,,,,,,80.65%,5514,21744,11335,10409,1967,87.13%,80.39%
Bhuabneswar,North,NA,10,,,14,5849,,,,,,85.34%,2588,10491,5755,4736 ,991,86.81%,81.55%
Bhuabneswar,North,NA,11,,,3,1541,,,,,,83.90%,3377,12781,6721,6060,1088,89.56%,86.55%
Bhuabneswar,North,NA,12,,,6,4734,,,,,,84.43%,3876,15806,8768,7038,1351,88.79%,82.25%
Bhuabneswar,North,NA,13,,,3,3173,,,,,,88.13%,2627,10711,5674,5037 ,1042,86.61%,82.53%
Bhuabneswar,North,NA,14,,,10,7494,,,,,,85.88%,2408,10798,5581,5217,900,85.18%,80.68%
Bhuabneswar,South-West,NA,15,,,2,3030,,,,,,84.69%,7209,25825,13692,12133,3623,75.90%,67%
Bhuabneswar,North,NA,16,,,15,19610,,,,,,83.01%,5828,20230,10754,9476,2922,76.10%,66.05%
Bhuabneswar,North,NA,17,,,9,8314,,,,,,71.72%,3781,17607,8896 ,8711,2002,78.92%,68.28%
Bhuabneswar,North,NA,18,,,3,1962,,,,,,71.39%,3628,14951,7830,7121,1249,89.27%,85.87%
